,DISTRICT_CODE,REF_YEAR,INC_TOT_VALUE,INC_MAL_VALUE,INC_FEM_VALUE,BIR
0,90100,2002,25.463,31.961,18.536,130
1,90200,2002,16.439,18.301,14.282,981
2,90300,2002,18.701,21.444,15.804,761
3,90400,2002,20.325,23.641,16.876,259
4,90500,2002,16.258,17.937,14.395,557
5,90600,2002,18.724,21.26,16.069,284
6,90700,2002,18.429,21.129,15.725,305
7,90800,2002,20.108,23.342,16.931,210
8,90900,2002,19.106,22.183,16.031,366
9,91000,2002,16.707,18.657,14.478,1632
10,91100,2002,16.742,18.883,14.296,955
11,91200,2002,16.95,18.884,14.794,841
12,91300,2002,23.914,29.951,17.877,432
13,91400,2002,19.511,22.571,16.3,798
14,91500,2002,14.999,16.355,13.439,779
15,91600,2002,16.33,18.004,14.465,1029
16,91700,2002,17.604,20.022,14.96,516
17,91800,2002,20.413,24.325,16.466,463
18,91900,2002,22.469,27.605,17.113,603
19,92000,2002,15.696,17.143,13.986,927
20,92100,2002,17.977,20.611,15.081,1265
21,92200,2002,18.915,22.016,15.577,1536
22,92300,2002,20.799,24.849,16.511,799
23,90100,2003,26.571,33.764,18.907,168
24,90200,2003,16.549,18.296,14.478,1002
25,90300,2003,18.94,21.523,16.15,806
26,90400,2003,20.73,24.031,17.256,294
27,90500,2003,16.402,17.976,14.633,576
28,90600,2003,19.059,21.46,16.449,296
29,90700,2003,18.941,21.49,16.388,273
30,90800,2003,20.345,23.644,17.106,197
31,90900,2003,19.141,21.776,16.336,419
32,91000,2003,16.792,18.586,14.669,1642
33,91100,2003,16.838,18.937,14.403,933
34,91200,2003,16.999,18.834,14.895,858
35,91300,2003,24.149,29.8,18.22,422
36,91400,2003,19.613,22.46,16.534,754
37,91500,2003,14.998,16.321,13.415,841
38,91600,2003,16.434,17.991,14.593,1023
39,91700,2003,17.713,19.906,15.215,513
40,91800,2003,20.614,24.511,16.593,497
41,91900,2003,22.458,27.421,17.292,569
42,92000,2003,15.705,17.018,14.096,985
43,92100,2003,18.071,20.582,15.264,1242
44,92200,2003,19.091,22.105,15.075,1431
45,92300,2003,20.869,24.792,16.651,745
46,90100,2004,26.854,33.77,19.483,145
47,90200,2004,16.64,18.263,14.746,962
48,90300,2004,19.29,21.964,16.466,842
49,90400,2004,21.126,24.824,17.32,301
50,90500,2004,16.484,18.108,14.712,583
51,90600,2004,19.132,21.56,16.53,268
52,90700,2004,19.046,21.447,16.665,299
53,90800,2004,20.645,23.832,17.516,217
54,90900,2004,19.534,22.627,16.46,373
55,91000,2004,16.765,18.542,14.68,1721
56,91100,2004,16.93,18.901,14.658,1003
57,91200,2004,17.126,19.039,14.974,918
58,91300,2004,24.701,30.745,18.641,410
59,91400,2004,19.809,22.804,16.637,810
60,91500,2004,15.025,16.252,13.56,818
61,91600,2004,16.576,18.087,14.835,1071
62,91700,2004,17.768,19.94,15.329,542
63,91800,2004,20.915,25.061,16.671,551
64,91900,2004,22.875,28.208,17.401,575
65,92000,2004,15.783,17.145,14.128,1018
66,92100,2004,18.158,20.7,15.356,1266
67,92200,2004,19.355,22.477,15.953,1444
68,92300,2004,20.923,24.809,16.814,719
69,90100,2005,28.638,35.904,21.011,127
70,90200,2005,17.074,18.703,15.179,988
71,90300,2005,19.799,22.52,16.91,820
72,90400,2005,21.767,25.133,18.307,284
73,90500,2005,16.873,18.436,15.143,603
74,90600,2005,19.714,22.184,17.087,265
75,90700,2005,19.778,22.475,17.133,280
76,90800,2005,21.842,25.497,18.304,227
77,90900,2005,20.203,23.577,16.877,380
78,91000,2005,17.074,18.812,15.034,1705
79,91100,2005,17.367,19.343,15.075,941
80,91200,2005,17.357,19.145,15.331,948
81,91300,2005,25.382,31.628,19.132,412
82,91400,2005,20.234,23.196,17.118,790
83,91500,2005,15.376,16.622,13.891,809
84,91600,2005,17.03,18.523,15.302,1089
85,91700,2005,18.26,20.538,15.729,590
86,91800,2005,21.63,25.617,17.546,461
87,91900,2005,23.232,28.546,17.81,562
88,92000,2005,16.023,17.369,14.403,983
89,92100,2005,18.547,21.146,15.691,1279
90,92200,2005,19.804,22.962,16.389,1463
91,92300,2005,21.544,25.498,17.38,734
92,90100,2006,29.234,36.957,21.16,149
93,90200,2006,17.458,19.051,15.597,1037
94,90300,2006,20.21,23.088,17.189,823
95,90400,2006,22.35,25.922,18.674,294
96,90500,2006,17.295,18.976,15.437,541
97,90600,2006,20.273,22.768,17.686,260
98,90700,2006,20.885,24.12,17.737,338
99,90800,2006,22.329,26.086,18.679,206
100,90900,2006,20.748,24.163,17.393,388
101,91000,2006,17.257,18.984,15.22,1865
102,91100,2006,17.646,19.658,15.313,875
103,91200,2006,17.446,19.188,15.485,968
104,91300,2006,26.23,32.744,19.809,487
105,91400,2006,20.51,23.36,17.514,844
106,91500,2006,15.527,16.713,14.125,794
107,91600,2006,17.17,18.734,15.374,1095
108,91700,2006,18.411,20.699,15.872,577
109,91800,2006,22.139,26.614,17.706,493
110,91900,2006,23.716,29.184,18.192,578
111,92000,2006,16.339,17.723,14.676,1024
112,92100,2006,18.815,21.377,16.021,1233
113,92200,2006,20.296,23.591,16.746,1465
114,92300,2006,21.734,25.798,17.495,778
115,90100,2007,31.095,40.019,21.791,117
116,90200,2007,18.008,19.917,15.832,1017
117,90300,2007,20.908,23.979,17.742,853
118,90400,2007,23.221,27.092,19.34,268
119,90500,2007,17.682,19.416,15.796,587
120,90600,2007,21.037,23.751,18.211,270
121,90700,2007,21.191,24.355,18.205,302
122,90800,2007,22.698,26.717,18.842,249
123,90900,2007,21.359,25.027,17.786,360
124,91000,2007,17.454,19.251,15.37,1893
125,91100,2007,17.984,20.05,15.597,902
126,91200,2007,17.926,19.705,15.933,928
127,91300,2007,26.946,33.693,20.356,422
128,91400,2007,20.966,24.002,17.806,835
129,91500,2007,15.8,16.995,14.413,759
130,91600,2007,17.612,19.144,15.903,1044
131,91700,2007,18.879,21.219,16.345,580
132,91800,2007,23.28,28.603,18.107,500
133,91900,2007,24.683,30.39,18.941,595
134,92000,2007,16.65,17.982,15.086,997
135,92100,2007,19.212,21.753,16.473,1220
