Lebendgeburten in Wien gemeldeter Personen nach Geschlecht des Kindes seit 2002 - Bezirke Wien | Live births of residents in Vienna by sex of child since 2002 - districts of Vienna
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;SEX;BIR
AT13;90100;90100;2002;2002;1;58
AT13;90100;90100;2002;2002;2;72
AT13;90200;90200;2002;2002;1;490
AT13;90200;90200;2002;2002;2;491
AT13;90300;90300;2002;2002;1;370
AT13;90300;90300;2002;2002;2;391
AT13;90400;90400;2002;2002;1;135
AT13;90400;90400;2002;2002;2;124
AT13;90500;90500;2002;2002;1;268
AT13;90500;90500;2002;2002;2;289
AT13;90600;90600;2002;2002;1;141
AT13;90600;90600;2002;2002;2;143
AT13;90700;90700;2002;2002;1;157
AT13;90700;90700;2002;2002;2;148
AT13;90800;90800;2002;2002;1;102
AT13;90800;90800;2002;2002;2;108
AT13;90900;90900;2002;2002;1;169
AT13;90900;90900;2002;2002;2;197
AT13;91000;91000;2002;2002;1;839
AT13;91000;91000;2002;2002;2;793
AT13;91100;91100;2002;2002;1;473
AT13;91100;91100;2002;2002;2;482
AT13;91200;91200;2002;2002;1;424
AT13;91200;91200;2002;2002;2;417
AT13;91300;91300;2002;2002;1;205
AT13;91300;91300;2002;2002;2;227
AT13;91400;91400;2002;2002;1;429
AT13;91400;91400;2002;2002;2;369
AT13;91500;91500;2002;2002;1;398
AT13;91500;91500;2002;2002;2;381
AT13;91600;91600;2002;2002;1;542
AT13;91600;91600;2002;2002;2;487
AT13;91700;91700;2002;2002;1;253
AT13;91700;91700;2002;2002;2;263
AT13;91800;91800;2002;2002;1;237
AT13;91800;91800;2002;2002;2;226
AT13;91900;91900;2002;2002;1;281
AT13;91900;91900;2002;2002;2;322
AT13;92000;92000;2002;2002;1;446
AT13;92000;92000;2002;2002;2;481
AT13;92100;92100;2002;2002;1;659
AT13;92100;92100;2002;2002;2;606
AT13;92200;92200;2002;2002;1;819
AT13;92200;92200;2002;2002;2;717
AT13;92300;92300;2002;2002;1;416
AT13;92300;92300;2002;2002;2;383
AT13;90100;90100;2003;2003;1;84
AT13;90100;90100;2003;2003;2;84
AT13;90200;90200;2003;2003;1;512
AT13;90200;90200;2003;2003;2;490
AT13;90300;90300;2003;2003;1;426
AT13;90300;90300;2003;2003;2;380
AT13;90400;90400;2003;2003;1;155
AT13;90400;90400;2003;2003;2;139
AT13;90500;90500;2003;2003;1;307
AT13;90500;90500;2003;2003;2;269
AT13;90600;90600;2003;2003;1;154
AT13;90600;90600;2003;2003;2;142
AT13;90700;90700;2003;2003;1;157
AT13;90700;90700;2003;2003;2;116
AT13;90800;90800;2003;2003;1;104
AT13;90800;90800;2003;2003;2;93
AT13;90900;90900;2003;2003;1;224
AT13;90900;90900;2003;2003;2;195
AT13;91000;91000;2003;2003;1;857
AT13;91000;91000;2003;2003;2;785
AT13;91100;91100;2003;2003;1;506
AT13;91100;91100;2003;2003;2;427
AT13;91200;91200;2003;2003;1;438
AT13;91200;91200;2003;2003;2;420
AT13;91300;91300;2003;2003;1;205
AT13;91300;91300;2003;2003;2;217
AT13;91400;91400;2003;2003;1;394
AT13;91400;91400;2003;2003;2;360
AT13;91500;91500;2003;2003;1;440
AT13;91500;91500;2003;2003;2;401
AT13;91600;91600;2003;2003;1;520
AT13;91600;91600;2003;2003;2;503
AT13;91700;91700;2003;2003;1;275
AT13;91700;91700;2003;2003;2;238
AT13;91800;91800;2003;2003;1;258
AT13;91800;91800;2003;2003;2;239
AT13;91900;91900;2003;2003;1;301
AT13;91900;91900;2003;2003;2;268
AT13;92000;92000;2003;2003;1;507
AT13;92000;92000;2003;2003;2;478
AT13;92100;92100;2003;2003;1;626
AT13;92100;92100;2003;2003;2;616
AT13;92200;92200;2003;2003;1;766
AT13;92200;92200;2003;2003;2;665
AT13;92300;92300;2003;2003;1;393
AT13;92300;92300;2003;2003;2;352
AT13;90100;90100;2004;2004;1;72
AT13;90100;90100;2004;2004;2;73
AT13;90200;90200;2004;2004;1;491
AT13;90200;90200;2004;2004;2;471
AT13;90300;90300;2004;2004;1;428
AT13;90300;90300;2004;2004;2;414
AT13;90400;90400;2004;2004;1;146
AT13;90400;90400;2004;2004;2;155
AT13;90500;90500;2004;2004;1;300
AT13;90500;90500;2004;2004;2;283
AT13;90600;90600;2004;2004;1;129
AT13;90600;90600;2004;2004;2;139
AT13;90700;90700;2004;2004;1;150
AT13;90700;90700;2004;2004;2;149
AT13;90800;90800;2004;2004;1;118
AT13;90800;90800;2004;2004;2;99
AT13;90900;90900;2004;2004;1;194
AT13;90900;90900;2004;2004;2;179
AT13;91000;91000;2004;2004;1;928
AT13;91000;91000;2004;2004;2;793
AT13;91100;91100;2004;2004;1;496
AT13;91100;91100;2004;2004;2;507
AT13;91200;91200;2004;2004;1;493
AT13;91200;91200;2004;2004;2;425
AT13;91300;91300;2004;2004;1;211
AT13;91300;91300;2004;2004;2;199
AT13;91400;91400;2004;2004;1;419
AT13;91400;91400;2004;2004;2;391
AT13;91500;91500;2004;2004;1;426
AT13;91500;91500;2004;2004;2;392
AT13;91600;91600;2004;2004;1;543
AT13;91600;91600;2004;2004;2;528
AT13;91700;91700;2004;2004;1;289
AT13;91700;91700;2004;2004;2;253
AT13;91800;91800;2004;2004;1;285
AT13;91800;91800;2004;2004;2;266
AT13;91900;91900;2004;2004;1;307
AT13;91900;91900;2004;2004;2;268
AT13;92000;92000;2004;2004;1;531
AT13;92000;92000;2004;2004;2;487
AT13;92100;92100;2004;2004;1;652
AT13;92100;92100;2004;2004;2;614
AT13;92200;92200;2004;2004;1;749
AT13;92200;92200;2004;2004;2;695
AT13;92300;92300;2004;2004;1;383
AT13;92300;92300;2004;2004;2;336
AT13;90100;90100;2005;2005;1;55
AT13;90100;90100;2005;2005;2;72
AT13;90200;90200;2005;2005;1;487
AT13;90200;90200;2005;2005;2;501
AT13;90300;90300;2005;2005;1;431
AT13;90300;90300;2005;2005;2;389
AT13;90400;90400;2005;2005;1;136
AT13;90400;90400;2005;2005;2;148
AT13;90500;90500;2005;2005;1;290
AT13;90500;90500;2005;2005;2;313
AT13;90600;90600;2005;2005;1;125
AT13;90600;90600;2005;2005;2;140
AT13;90700;90700;2005;2005;1;134
AT13;90700;90700;2005;2005;2;146
AT13;90800;90800;2005;2005;1;117
AT13;90800;90800;2005;2005;2;110
AT13;90900;90900;2005;2005;1;192
AT13;90900;90900;2005;2005;2;188
AT13;91000;91000;2005;2005;1;866
AT13;91000;91000;2005;2005;2;839
AT13;91100;91100;2005;2005;1;455
AT13;91100;91100;2005;2005;2;486
AT13;91200;91200;2005;2005;1;508
AT13;91200;91200;2005;2005;2;440
AT13;91300;91300;2005;2005;1;215
AT13;91300;91300;2005;2005;2;197
AT13;91400;91400;2005;2005;1;397
AT13;91400;91400;2005;2005;2;393
AT13;91500;91500;2005;2005;1;425
AT13;91500;91500;2005;2005;2;384
AT13;91600;91600;2005;2005;1;571
AT13;91600;91600;2005;2005;2;518
AT13;91700;91700;2005;2005;1;285
AT13;91700;91700;2005;2005;2;305
AT13;91800;91800;2005;2005;1;242
AT13;91800;91800;2005;2005;2;219
AT13;91900;91900;2005;2005;1;310
AT13;91900;91900;2005;2005;2;252
AT13;92000;92000;2005;2005;1;537
AT13;92000;92000;2005;2005;2;446
AT13;92100;92100;2005;2005;1;658
AT13;92100;92100;2005;2005;2;621
AT13;92200;92200;2005;2005;1;759
AT13;92200;92200;2005;2005;2;704
AT13;92300;92300;2005;2005;1;353
AT13;92300;92300;2005;2005;2;381
AT13;90100;90100;2006;2006;1;84
AT13;90100;90100;2006;2006;2;65
AT13;90200;90200;2006;2006;1;521
AT13;90200;90200;2006;2006;2;516
AT13;90300;90300;2006;2006;1;409
AT13;90300;90300;2006;2006;2;414
AT13;90400;90400;2006;2006;1;145
AT13;90400;90400;2006;2006;2;149
AT13;90500;90500;2006;2006;1;277
AT13;90500;90500;2006;2006;2;264
AT13;90600;90600;2006;2006;1;147
AT13;90600;90600;2006;2006;2;113
AT13;90700;90700;2006;2006;1;174
AT13;90700;90700;2006;2006;2;164
AT13;90800;90800;2006;2006;1;109
AT13;90800;90800;2006;2006;2;97
AT13;90900;90900;2006;2006;1;200
AT13;90900;90900;2006;2006;2;188
AT13;91000;91000;2006;2006;1;962
AT13;91000;91000;2006;2006;2;903
AT13;91100;91100;2006;2006;1;445
AT13;91100;91100;2006;2006;2;430
AT13;91200;91200;2006;2006;1;499
AT13;91200;91200;2006;2006;2;469
AT13;91300;91300;2006;2006;1;239
AT13;91300;91300;2006;2006;2;248
AT13;91400;91400;2006;2006;1;432
AT13;91400;91400;2006;2006;2;412
AT13;91500;91500;2006;2006;1;411
AT13;91500;91500;2006;2006;2;383
AT13;91600;91600;2006;2006;1;526
AT13;91600;91600;2006;2006;2;569
AT13;91700;91700;2006;2006;1;306
AT13;91700;91700;2006;2006;2;271
AT13;91800;91800;2006;2006;1;249
AT13;91800;91800;2006;2006;2;244
AT13;91900;91900;2006;2006;1;296
AT13;91900;91900;2006;2006;2;282
AT13;92000;92000;2006;2006;1;530
AT13;92000;92000;2006;2006;2;494
AT13;92100;92100;2006;2006;1;644
AT13;92100;92100;2006;2006;2;589
AT13;92200;92200;2006;2006;1;726
AT13;92200;92200;2006;2006;2;739
AT13;92300;92300;2006;2006;1;385
AT13;92300;92300;2006;2006;2;393
AT13;90100;90100;2007;2007;1;53
AT13;90100;90100;2007;2007;2;64
AT13;90200;90200;2007;2007;1;511
AT13;90200;90200;2007;2007;2;506
AT13;90300;90300;2007;2007;1;406
AT13;90300;90300;2007;2007;2;447
AT13;90400;90400;2007;2007;1;140
AT13;90400;90400;2007;2007;2;128
AT13;90500;90500;2007;2007;1;296
AT13;90500;90500;2007;2007;2;291
AT13;90600;90600;2007;2007;1;133
AT13;90600;90600;2007;2007;2;137
AT13;90700;90700;2007;2007;1;144
